,AC_AREA,AXIS_FID,CLOUD_SCORE,COVERAGE_SCORE,DATE_ACQUIRED,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,LANDSAT_PRODUCT_ID,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_WATER_MNDWI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,Type_V
52,3322,1,2,100,2020-01-10,2991483.472,14,487.30464,26000,LC08_L2SP_137039_20200110_20200823_02_T1,1000014,1,2,0,0,0,0.0,119,2529.1520297335524,-0.13117327109167584,0.05383573418459851,-0.13120594104321798,0.053847885503196476,0.03273637733126393,,,
53,3322,1,2,100,2020-01-26,2991483.472,14,487.30464,26000,LC08_L2SP_137039_20200126_20200823_02_T1,1000014,1,2,0,0,0,0.0,101,2232.086683163762,-0.1324094968750576,0.050578054928094564,-0.13244565073329742,0.05059873598003482,0.03555583732189114,,,
54,0,1,100,100,2020-01-02,2991483.472,14,487.30464,26000,LE07_L2SP_137039_20200102_20200822_02_T1,1000014,1,2,0,0,0,0.0,0,0.0,,,,,,,,
55,3322,1,19,100,2020-01-18,2991483.472,14,487.30464,26000,LE07_L2SP_137039_20200118_20200822_02_T1,1000014,1,2,0,0,0,0.0,102,3427.152163994213,-0.13744106876524897,0.03699281038240003,-0.13749035635492066,0.037002811847144296,0.05533355584603324,,,
56,4193,1,3,100,2020-01-10,3770315.989,15,138.95832,28000,LC08_L2SP_137039_20200110_20200823_02_T1,1000015,1,2,6,0,0,0.0,148,4034.492915436294,-0.10900443269280832,0.045056164997875355,-0.10897382308707797,0.045038137278429556,0.02214991184602854,,,
57,4193,1,2,100,2020-01-26,3770315.989,15,138.95832,28000,LC08_L2SP_137039_20200126_20200823_02_T1,1000015,1,2,6,0,0,0.0,100,3087.960338166444,-0.12039031342845467,0.04499718314269949,-0.12037119077048086,0.04498429618093391,0.04110579688796272,,,
58,0,1,100,100,2020-01-02,3770315.989,15,138.95832,28000,LE07_L2SP_137039_20200102_20200822_02_T1,1000015,1,2,6,0,0,0.0,0,0.0,,,,,,,,
59,4191,1,16,100,2020-01-18,3770315.989,15,138.95832,28000,LE07_L2SP_137039_20200118_20200822_02_T1,1000015,1,2,6,0,0,0.0,176,5372.195946519598,-0.12357722521099349,0.031357483123081856,-0.1235245889819612,0.03133065267722344,0.045348962006933405,,,
60,5840,1,3,100,2020-01-10,5251632.168,16,498.85648,30000,LC08_L2SP_137039_20200110_20200823_02_T1,1000016,1,2,6,0,0,0.0,197,3873.4505899110054,-0.08865855508400954,0.043221058694367584,-0.08865226954316403,0.043185241642127406,0.012684433949099507,,,
61,5840,1,2,100,2020-01-26,5251632.168,16,498.85648,30000,LC08_L2SP_137039_20200126_20200823_02_T1,1000016,1,2,6,0,0,0.0,176,4553.949642854105,-0.126079263604759,0.04558734851257924,-0.12607220956692558,0.04555731883742229,0.04566437994122228,,,
62,18,1,102,0,2020-01-10,5251632.168,16,498.85648,30000,LC08_L2SP_137040_20200110_20200823_02_T1,1000016,1,2,6,0,0,0.0,0,0.0,,,,,,,,
63,28,1,81,0,2020-01-26,5251632.168,16,498.85648,30000,LC08_L2SP_137040_20200126_20200823_02_T1,1000016,1,2,6,0,0,0.0,0,0.0,-0.06732837411383195,0.02461147485014411,-0.06389174677335643,0.02353184260995007,,,,
64,0,1,100,100,2020-01-02,5251632.168,16,498.85648,30000,LE07_L2SP_137039_20200102_20200822_02_T1,1000016,1,2,6,0,0,0.0,0,0.0,,,,,,,,
65,5837,1,18,100,2020-01-18,5251632.168,16,498.85648,30000,LE07_L2SP_137039_20200118_20200822_02_T1,1000016,1,2,6,0,0,0.0,266,7128.701329370813,-0.1251099256293112,0.031471053695992665,-0.12506899182215656,0.031435919917376084,0.04247994121895253,,,
66,5856,1,7,100,2020-01-10,5426197.56,17,388.49848,32000,LC08_L2SP_137039_20200110_20200823_02_T1,1000017,1,2,8,0,0,0.0,42,1346.421950156861,-0.0958010432345043,0.052262314295226625,-0.09573284516760357,0.05223463502249907,0.014454657062396672,,,
67,6022,1,1,100,2020-01-26,5426197.56,17,388.49848,32000,LC08_L2SP_137039_20200126_20200823_02_T1,1000017,1,2,8,0,0,0.0,73,2774.582397153512,-0.15157727255934064,0.06144337986872714,-0.15143208125915497,0.061363218198834855,0.02784359188010967,,,
68,1026,1,61,26,2020-01-10,5426197.56,17,388.49848,32000,LC08_L2SP_137040_20200110_20200823_02_T1,1000017,1,2,8,0,0,0.0,72,2221.277110779725,-0.05097416624883096,0.03325816400743915,-0.05099400162955761,0.03325609606254548,0.018220405012563976,,,
69,1682,1,9,27,2020-01-26,5426197.56,17,388.49848,32000,LC08_L2SP_137040_20200126_20200823_02_T1,1000017,1,2,8,0,0,0.0,70,2033.624439555773,-0.10446339058294214,0.03924207355207761,-0.10423984524443679,0.039088682228708954,0.0272712096026535,,,
70,0,1,100,100,2020-01-02,5426197.56,17,388.49848,32000,LE07_L2SP_137039_20200102_20200822_02_T1,1000017,1,2,8,0,0,0.0,0,0.0,,,,,,,,
71,5994,1,18,100,2020-01-18,5426197.56,17,388.49848,32000,LE07_L2SP_137039_20200118_20200822_02_T1,1000017,1,2,8,0,0,0.0,168,5578.066762846031,-0.1529812783010589,0.046906902598354325,-0.15295324613370176,0.04689270235776573,0.03776509419278096,,,
72,6338,1,2,100,2020-01-10,5709662.443,18,622.2419,34000,LC08_L2SP_137039_20200110_20200823_02_T1,1000018,1,2,6,0,0,0.0,81,2218.238796083605,-0.11153401369231204,0.05515324956883958,-0.11146112926956,0.05513061919263665,0.018408525504261652,,,
73,6338,1,2,100,2020-01-26,5709662.443,18,622.2419,34000,LC08_L2SP_137039_20200126_20200823_02_T1,1000018,1,2,6,0,0,0.0,220,4902.792291923312,-0.13810534959420992,0.05664479333296667,-0.1380746647216061,0.05665592187839448,0.041830741397042855,,,
74,4235,1,5,66,2020-01-10,5709662.443,18,622.2419,34000,LC08_L2SP_137040_20200110_20200823_02_T1,1000018,1,2,6,0,0,0.0,114,2670.596916151975,-0.09283342764284187,0.04802349666922356,-0.09276703225609656,0.048018824727391995,0.01915874187300615,,,
75,4312,1,3,67,2020-01-26,5709662.443,18,622.2419,34000,LC08_L2SP_137040_20200126_20200823_02_T1,1000018,1,2,6,0,0,0.0,323,7106.868673438357,-0.12033915228047323,0.049319519819105886,-0.12030604123070189,0.0493483188838515,0.050780341993732436,,,
76,0,1,100,100,2020-01-02,5709662.443,18,622.2419,34000,LE07_L2SP_137039_20200102_20200822_02_T1,1000018,1,2,6,0,0,0.0,0,0.0,,,,,,,,
77,6263,1,20,100,2020-01-18,5709662.443,18,622.2419,34000,LE07_L2SP_137039_20200118_20200822_02_T1,1000018,1,2,6,0,0,0.0,183,6012.259376571187,-0.14094142752176947,0.04351224474994656,-0.14084575439394037,0.04348751120786662,0.05075043873935485,,,
78,6219,1,2,100,2020-01-10,5592426.734,19,1490.08804,36000,LC08_L2SP_137039_20200110_20200823_02_T1,1000019,1,2,6,0,0,0.0,26,1008.2600254731069,-0.13528090889226968,0.0616416112814432,-0.13528657461130034,0.06164186996030655,0.027259220902770262,,,
